workerid,proliferate.condition,agent,background,correct_answer,followup_name,grid_labels,item_name,item_presentation_condition,n_examples,object,options,prompt,property,response_type,show_generic,show_object,show_scene,slide_num,slider_label_l,slider_label_r,speaker,type,error
725,pedagogical-2,Monkey,3,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower04', 'flower02', 'flower01', 'flower05'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
725,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
731,pedagogical-2,Tiger,3,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
731,pedagogical-2,Tiger,3,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird09', 'bird08', 'bird06', 'bird02'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
731,pedagogical-2,Tiger,3,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird09', 'bird08', 'bird06', 'bird02'], 'green feathers']",,,,,,,,3,,,mh,object_property,
731,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
731,pedagogical-2,,,dax,name_identification,"['nar', 'vicket', 'dax', 'yem', 'blus', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
731,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
731,pedagogical-2,Tiger,3,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird09', 'bird08', 'bird06', 'bird02'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
731,pedagogical-2,Tiger,3,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird09', 'bird08', 'bird06', 'bird02'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
731,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
704,pedagogical-2,Sheep,1,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
704,pedagogical-2,Sheep,1,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']",,,,,,,,2,,,sb,object_encounter,
704,pedagogical-2,Sheep,1,,,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']",,,,,,,,3,,,sb,object_property,
704,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
704,pedagogical-2,,,wug,name_identification,"['nar', 'vicket', 'wug', 'yem', 'blus', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
704,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
704,pedagogical-2,Sheep,1,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
704,pedagogical-2,Sheep,1,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird02', 'bird06', 'bird01'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
704,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
683,pedagogical-2,Monkey,5,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
683,pedagogical-2,Monkey,5,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird06', 'bird08', 'bird09'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
683,pedagogical-2,Monkey,5,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird06', 'bird08', 'bird09'], 'green feathers']",,,,,,,,3,,,mh,object_property,
683,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
683,pedagogical-2,,,dax,name_identification,"['vicket', 'yem', 'nar', 'blus', 'zobby', 'dax']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
683,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
683,pedagogical-2,Monkey,5,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird06', 'bird08', 'bird09'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
683,pedagogical-2,Monkey,5,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird06', 'bird08', 'bird09'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
683,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
677,pedagogical-2,Dog,6,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
677,pedagogical-2,Dog,6,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact03', 'artifact04', 'artifact02', 'artifact01', 'artifact05'], 'squeaking']",,,,,,,,2,,,sb,object_encounter,
677,pedagogical-2,Dog,6,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact03', 'artifact04', 'artifact02', 'artifact01', 'artifact05'], 'squeaking']",,,,,,,,3,,,sb,object_property,
677,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
677,pedagogical-2,,,wug,name_identification,"['wug', 'blus', 'yem', 'vicket', 'zobby', 'nar']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
677,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
677,pedagogical-2,Dog,6,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact03', 'artifact04', 'artifact02', 'artifact01', 'artifact05'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
677,pedagogical-2,Dog,6,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact03', 'artifact04', 'artifact02', 'artifact01', 'artifact05'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
677,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
697,pedagogical-2,Sheep,10,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
697,pedagogical-2,Sheep,10,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']",,,,,,,,2,,,tg,object_encounter,
697,pedagogical-2,Sheep,10,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']",,,,,,,,3,,,tg,object_property,
697,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
697,pedagogical-2,,,fep,name_identification,"['blus', 'nar', 'yem', 'zobby', 'fep', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
697,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
697,pedagogical-2,Sheep,10,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
697,pedagogical-2,Sheep,10,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird09', 'bird08', 'bird01', 'bird02', 'bird06'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
697,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
715,pedagogical-2,Tiger,3,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
715,pedagogical-2,Tiger,3,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower03', 'flower01', 'flower02', 'flower05'], 'purple petals']",,,,,,,,2,,,mh,object_encounter,
715,pedagogical-2,Tiger,3,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower03', 'flower01', 'flower02', 'flower05'], 'purple petals']",,,,,,,,3,,,mh,object_property,
715,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
715,pedagogical-2,,,wug,name_identification,"['zobby', 'yem', 'vicket', 'wug', 'nar', 'blus']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
715,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
715,pedagogical-2,Tiger,3,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower03', 'flower01', 'flower02', 'flower05'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
715,pedagogical-2,Tiger,3,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower03', 'flower01', 'flower02', 'flower05'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
715,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
693,pedagogical-2,Tiger,10,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
693,pedagogical-2,Tiger,10,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower02', 'flower01', 'flower05', 'flower04'], 'purple petals']",,,,,,,,2,,,mh,object_encounter,
693,pedagogical-2,Tiger,10,,,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower02', 'flower01', 'flower05', 'flower04'], 'purple petals']",,,,,,,,3,,,mh,object_property,
693,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
693,pedagogical-2,,,fep,name_identification,"['vicket', 'zobby', 'fep', 'blus', 'nar', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
693,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
693,pedagogical-2,Tiger,10,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower02', 'flower01', 'flower05', 'flower04'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
693,pedagogical-2,Tiger,10,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['flower', ['flower03', 'flower02', 'flower01', 'flower05', 'flower04'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
693,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
723,pedagogical-2,Elephant,4,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
723,pedagogical-2,Elephant,4,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact03', 'artifact01', 'artifact04', 'artifact02'], 'squeaking']",,,,,,,,2,,,tg,object_encounter,
723,pedagogical-2,Elephant,4,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact03', 'artifact01', 'artifact04', 'artifact02'], 'squeaking']",,,,,,,,3,,,tg,object_property,
723,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
723,pedagogical-2,,,wug,name_identification,"['blus', 'wug', 'yem', 'vicket', 'nar', 'zobby']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
723,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
723,pedagogical-2,Elephant,4,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact03', 'artifact01', 'artifact04', 'artifact02'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
723,pedagogical-2,Elephant,4,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact03', 'artifact01', 'artifact04', 'artifact02'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
723,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
713,pedagogical-2,Elephant,5,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
713,pedagogical-2,Elephant,5,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird06', 'bird02', 'bird01', 'bird08'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
713,pedagogical-2,Elephant,5,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird06', 'bird02', 'bird01', 'bird08'], 'green feathers']",,,,,,,,3,,,mh,object_property,
713,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
713,pedagogical-2,,,dax,name_identification,"['vicket', 'yem', 'zobby', 'dax', 'nar', 'blus']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
713,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
713,pedagogical-2,Elephant,5,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird06', 'bird02', 'bird01', 'bird08'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
713,pedagogical-2,Elephant,5,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird09', 'bird06', 'bird02', 'bird01', 'bird08'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
713,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
679,pedagogical-2,Dog,2,,,,,pedagogical,,,,,,,,,,1,,,sb,agent_intro,
679,pedagogical-2,Dog,2,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact02', 'artifact03', 'artifact01', 'artifact04'], 'squeaking']",,,,,,,,2,,,sb,object_encounter,
679,pedagogical-2,Dog,2,,,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact02', 'artifact03', 'artifact01', 'artifact04'], 'squeaking']",,,,,,,,3,,,sb,object_property,
679,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
679,pedagogical-2,,,wug,name_identification,"['nar', 'blus', 'yem', 'vicket', 'zobby', 'wug']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
679,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
679,pedagogical-2,Dog,2,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact02', 'artifact03', 'artifact01', 'artifact04'], 'squeaking']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,,mc,False,True,True,7,,,,followup,
679,pedagogical-2,Dog,2,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['artifact', ['artifact05', 'artifact02', 'artifact03', 'artifact01', 'artifact04'], 'squeaking']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
679,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
706,pedagogical-2,Sheep,2,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
706,pedagogical-2,Sheep,2,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird08', 'bird09', 'bird06'], 'green feathers']",,,,,,,,2,,,mh,object_encounter,
706,pedagogical-2,Sheep,2,,,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird08', 'bird09', 'bird06'], 'green feathers']",,,,,,,,3,,,mh,object_property,
706,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
706,pedagogical-2,,,dax,name_identification,"['dax', 'blus', 'vicket', 'nar', 'zobby', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
706,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
706,pedagogical-2,Sheep,2,NA,perceived_character_knowledge,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird08', 'bird09', 'bird06'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
706,pedagogical-2,Sheep,2,been_while,character_arrival,,"['dax', 'daxes']",pedagogical,2,"['bird', ['bird01', 'bird02', 'bird08', 'bird09', 'bird06'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
706,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
717,pedagogical-2,Sheep,6,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
717,pedagogical-2,Sheep,6,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird06', 'bird09', 'bird08', 'bird02', 'bird01'], 'green feathers']",,,,,,,,2,,,tg,object_encounter,
717,pedagogical-2,Sheep,6,,,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird06', 'bird09', 'bird08', 'bird02', 'bird01'], 'green feathers']",,,,,,,,3,,,tg,object_property,
717,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another fep. What are the chances that it has green feathers?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
717,pedagogical-2,,,fep,name_identification,"['blus', 'vicket', 'zobby', 'fep', 'nar', 'yem']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
717,pedagogical-2,,,NA,generic_endorsement,,"['fep', 'feps']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,green feathers,mc,True,,False,6,,,,followup,
717,pedagogical-2,Sheep,6,NA,perceived_character_knowledge,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird06', 'bird09', 'bird08', 'bird02', 'bird01'], 'green feathers']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,,mc,False,True,True,7,,,,followup,
717,pedagogical-2,Sheep,6,been_while,character_arrival,,"['fep', 'feps']",pedagogical,2,"['bird', ['bird06', 'bird09', 'bird08', 'bird02', 'bird01'], 'green feathers']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
717,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
689,pedagogical-2,Tiger,10,,,,,pedagogical,,,,,,,,,,1,,,mh,agent_intro,
689,pedagogical-2,Tiger,10,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower01', 'flower05', 'flower03', 'flower02'], 'purple petals']",,,,,,,,2,,,mh,object_encounter,
689,pedagogical-2,Tiger,10,,,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower01', 'flower05', 'flower03', 'flower02'], 'purple petals']",,,,,,,,3,,,mh,object_property,
689,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another wug. What are the chances that it has purple petals?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
689,pedagogical-2,,,wug,name_identification,"['zobby', 'yem', 'wug', 'nar', 'vicket', 'blus']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
689,pedagogical-2,,,NA,generic_endorsement,,"['wug', 'wugs']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,purple petals,mc,True,,False,6,,,,followup,
689,pedagogical-2,Tiger,10,NA,perceived_character_knowledge,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower01', 'flower05', 'flower03', 'flower02'], 'purple petals']","[['Yes', 'yes'], ['No', 'no']]",Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,,mc,False,True,True,7,,,,followup,
689,pedagogical-2,Tiger,10,been_while,character_arrival,,"['wug', 'wugs']",pedagogical,2,"['flower', ['flower04', 'flower01', 'flower05', 'flower03', 'flower02'], 'purple petals']","[['This character is a new researcher who just arrived here', 'just_arrived'], ['This character has been doing research on this planet for a while', 'been_while']]","Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",,mc,False,False,True,8,,,,followup,
689,pedagogical-2,,,NA,freeform_followup,,,pedagogical,,,,"In the text box below, please describe briefly what happened in this experiment.",,freeform,False,,False,9,,,,followup,
735,pedagogical-2,Elephant,6,,,,,pedagogical,,,,,,,,,,1,,,tg,agent_intro,
735,pedagogical-2,Elephant,6,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact03', 'artifact01', 'artifact04', 'artifact05', 'artifact02'], 'squeaking']",,,,,,,,2,,,tg,object_encounter,
735,pedagogical-2,Elephant,6,,,,"['dax', 'daxes']",pedagogical,2,"['artifact', ['artifact03', 'artifact01', 'artifact04', 'artifact05', 'artifact02'], 'squeaking']",,,,,,,,3,,,tg,object_property,
735,pedagogical-2,,,NA,predicted_probability,,,pedagogical,2,,,Imagine that you come across another dax. What are the chances that it squeaks?,,slider,False,,False,4,0% (impossible),100% (certain),,followup,
735,pedagogical-2,,,dax,name_identification,"['zobby', 'dax', 'blus', 'yem', 'nar', 'vicket']",,pedagogical,,,,What is the name of the item you learned about? Please select its name from the options below.,,grid,False,,False,5,,,,followup,
735,pedagogical-2,,,NA,generic_endorsement,,"['dax', 'daxes']",pedagogical,,,"[['Yes', 'yes'], ['No', 'no']]",Would you say the following is true?,squeaking,mc,True,,False,6,,,,followup,
